RENAISSANCE AI FUND - AVOID LIST,,,,
Companies that destroy capital - DO NOT INVEST,,,,
,,,,
Category,Ticker,Company,Sector,Why Avoid
BANKRUPT,LAZRQ,Luminar Technologies,EV/Lidar,Filed bankruptcy Dec 2025
BANKRUPT,SAVEQ,Spirit Airlines,Airlines,Filed bankruptcy Nov 2024
BANKRUPT,NKLAQ,Nikola Corp,EV,Filed bankruptcy Feb 2025
BANKRUPT,GOEVQ,Canoo Inc,EV,Filed bankruptcy Jan 2025
BANKRUPT,TUPBQ,Tupperware Brands,Consumer,Filed bankruptcy Sep 2024
BANKRUPT,BIGGQ,Big Lots Inc,Retail,Filed bankruptcy Sep 2024
BANKRUPT,MEHCQ,23andMe,Biotech,Filed bankruptcy Mar 2025
BANKRUPT,WEWKQ,WeWork Inc,Real Estate,Filed bankruptcy Nov 2023
BANKRUPT,SPWRQ,SunPower Corp,Solar,Filed bankruptcy Aug 2024
BANKRUPT,RADCQ,Rite Aid Corp,Retail,Filed bankruptcy Oct 2023
BANKRUPT,BBBYQ,Bed Bath & Beyond,Retail,Filed bankruptcy Apr 2023
BANKRUPT,YELLQ,Yellow Corp,Trucking,Filed bankruptcy Aug 2023
BANKRUPT,FLYYQ,Spirit Aviation,Airlines,Filed bankruptcy Sep 2025
BANKRUPT,FSRQ,Fisker Inc,EV,Filed bankruptcy Jun 2024
BANKRUPT,LILMF,Lilium NV,Air Taxi,Filed bankruptcy Nov 2024
BANKRUPT,RIDE,Lordstown Motors,EV,Filed bankruptcy Jun 2023
BANKRUPT,PTRA,Proterra Inc,EV Bus,Filed bankruptcy Aug 2023
BANKRUPT,IRBTQ,iRobot Corp,Consumer Tech,Filed bankruptcy Dec 2025
BANKRUPT,SNDQ,Sonder Holdings,Hospitality,Filed bankruptcy Nov 2025
BANKRUPT,DNMRQ,Danimer Scientific,Materials,Filed bankruptcy Dec 2024
BANKRUPT,LEVGQ,Lion Electric,EV,Filed bankruptcy Dec 2024
BANKRUPT,TCSGQ,Container Store,Retail,Filed bankruptcy Dec 2024
BANKRUPT,SDCCQ,SmileDirectClub,Healthcare,Filed bankruptcy Sep 2023
BANKRUPT,BRDSQ,Bird Global,EV/Scooters,Filed bankruptcy Sep 2023
BANKRUPT,EXPR,Express Inc,Retail,Filed bankruptcy Apr 2024
EV/CLEAN,LCID,Lucid Group,EV,"Burning $3B+/yr, no path to profit"
EV/CLEAN,RIVN,Rivian,EV,"Burning $4B+/yr, Amazon dependent"
EV/CLEAN,FFIE,Faraday Future,EV,"Near bankruptcy, fraud history"
EV/CLEAN,WKHS,Workhorse Group,EV,"Negative FCF, minimal revenue"
EV/CLEAN,MULN,Mullen Automotive,EV,"Penny stock, reverse splits"
EV/CLEAN,HYLN,Hyliion Holdings,EV Trucks,"Pre-revenue, burning cash"
EV/CLEAN,SOLO,Electrameccanica,EV,"Minimal sales, cash burn"
EV/CLEAN,ARVL,Arrival SA,EV,Operations paused
EV/CLEAN,XPEV,XPeng Inc,EV China,"Negative FCF, competition"
EV/CLEAN,NIO,NIO Inc,EV China,"Cash burn, VIE risk"
EV/CLEAN,LI,Li Auto,EV China,"Competition, VIE structure"
EV/CLEAN,CHPT,ChargePoint,EV Charging,Burning $400M+/yr
EV/CLEAN,BLNK,Blink Charging,EV Charging,"Negative FCF, competition"
EV/CLEAN,EVGO,EVgo Inc,EV Charging,Negative FCF
EV/CLEAN,PLUG,Plug Power,Hydrogen,"Burning $1B+/yr, no profit path"
EV/CLEAN,BLDP,Ballard Power,Fuel Cell,Negative FCF for decades
EV/CLEAN,FCEL,FuelCell Energy,Fuel Cell,"Negative FCF, dilution"
EV/CLEAN,BE,Bloom Energy,Fuel Cell,Negative FCF
EV/CLEAN,SEDG,SolarEdge Tech,Solar,"Demand collapse, inventory"
EV/CLEAN,RUN,Sunrun Inc,Solar,"High debt, rate sensitivity"
EV/CLEAN,NOVA,Sunnova Energy,Solar,BANKRUPT Jun 2025
EV/CLEAN,STEM,Stem Inc,Energy Storage,Negative FCF
EV/CLEAN,QS,QuantumScape,Battery,"Pre-revenue, years from commercialization"
EV/CLEAN,SLDP,Solid Power,Battery,Pre-revenue R&D stage
EV/CLEAN,MVST,Microvast Holdings,Battery,Negative FCF
EV/CLEAN,JOBY,Joby Aviation,Air Taxi,"Pre-revenue, certification years away"
EV/CLEAN,ACHR,Archer Aviation,Air Taxi,"Pre-revenue, regulatory risk"
EV/CLEAN,EVEX,Eve Holding,Air Taxi,Pre-revenue
EV/CLEAN,SPCE,Virgin Galactic,Space,"Cash burn, limited flights"
EV/CLEAN,ASTR,Astra Space,Space,Operations paused
EV/CLEAN,RKLB,Rocket Lab,Space,"Negative FCF, high valuation"
BIOTECH,MRNA,Moderna,mRNA,COVID revenue collapsed 95%
BIOTECH,BNTX,BioNTech,mRNA,COVID revenue collapsed
BIOTECH,NVAX,Novavax,Vaccines,"Late to market, no demand"
BIOTECH,BEAM,Beam Therapeutics,Gene Editing,"Pre-revenue, clinical stage"
BIOTECH,CRSP,CRISPR Therapeutics,Gene Editing,Negative FCF
BIOTECH,EDIT,Editas Medicine,Gene Editing,Pre-revenue
BIOTECH,NTLA,Intellia Therapeutics,Gene Editing,Pre-revenue
BIOTECH,VERV,Verve Therapeutics,Gene Editing,Pre-revenue
BIOTECH,SAVA,Cassava Sciences,Alzheimers,"Data controversy, DOJ investigation"
BIOTECH,RXRX,Recursion Pharma,AI Drug Discovery,"Pre-revenue, burning cash"
BIOTECH,EXAI,Exscientia,AI Drug Discovery,Pre-revenue
BIOTECH,MNMD,Mind Medicine,Psychedelics,"Pre-revenue, regulatory uncertain"
BIOTECH,CMPS,Compass Pathways,Psychedelics,Pre-revenue
BIOTECH,ATAI,ATAI Life Sciences,Psychedelics,Pre-revenue
BIOTECH,FATE,Fate Therapeutics,Cell Therapy,Cash burn
BIOTECH,BLUE,bluebird bio,Gene Therapy,"Cash crisis, delisting risk"
BIOTECH,IOVA,Iovance Biotherapeutics,Cell Therapy,Negative FCF
BIOTECH,ADAP,Adaptimmune,Cell Therapy,Cash burn
BIOTECH,ALEC,Alector Inc,Neurodegeneration,Cash burn
BIOTECH,SNDX,Syndax Pharmaceuticals,Oncology,Pre-revenue
BIOTECH,RVMD,Revolution Medicines,Oncology,Pre-revenue
BIOTECH,NUVB,Nuvation Bio,Oncology,Pre-revenue
BIOTECH,BDTX,Black Diamond Therapeutics,Oncology,Cash burn
BIOTECH,ERAS,Erasca Inc,Oncology,Pre-revenue
RETAIL,M,Macy's,Department Store,"Secular decline, e-commerce threat"
RETAIL,KSS,Kohl's,Department Store,"Traffic decline, Amazon threat"
RETAIL,JWN,Nordstrom,Department Store,Premium retail struggle
RETAIL,GME,GameStop,Gaming Retail,"Physical gaming dying, meme stock"
RETAIL,AMC,AMC Entertainment,Theaters,"High debt, meme stock, dilution"
RETAIL,WBA,Walgreens Boots,Pharmacy,"Store closures, opioid liability"
RETAIL,DG,Dollar General,Dollar Store,"Margin pressure, shrink"
RETAIL,DLTR,Dollar Tree,Dollar Store,"Integration issues, competition"
RETAIL,FIVE,Five Below,Dollar Store,"Competition, labor costs"
RETAIL,BBY,Best Buy,Electronics,"Amazon pressure, commoditization"
RETAIL,W,Wayfair,E-commerce,"Negative FCF, competition"
RETAIL,CHWY,Chewy,E-commerce,"Margin pressure, Amazon Pet"
RETAIL,WISH,ContextLogic,E-commerce,Collapsed business model
RETAIL,OSTK,Overstock.com,E-commerce,Struggling turnaround
RETAIL,CVNA,Carvana,Auto E-commerce,"Massive debt, near bankruptcy"
RETAIL,VRM,Vroom Inc,Auto E-commerce,Scaled back operations
RETAIL,BYND,Beyond Meat,Plant-Based,"Demand collapsed, burning cash"
RETAIL,OTLY,Oatly Group,Plant-Based,"Negative FCF, competition"
RETAIL,PRTY,Party City,Retail,BANKRUPT
MEDIA,PARA,Paramount Global,Media,"Streaming losses, cable decline"
MEDIA,WBD,Warner Bros Discovery,Media,"$10B+ write-downs, streaming losses"
MEDIA,DISH,DISH Network,Satellite TV,"Terminal decline, 5G mess"
MEDIA,T,AT&T,Telecom,"Massive debt, dividend cut history"
MEDIA,VZ,Verizon,Telecom,"Mature, low growth, debt"
MEDIA,LUMN,Lumen Technologies,Telecom,"Legacy decline, debt"
MEDIA,CHTR,Charter Communications,Cable,Cord cutting accelerating
MEDIA,CMCSA,Comcast,Cable,Cord cutting pressure
MEDIA,SIRI,Sirius XM,Satellite Radio,"Mature, Spotify competition"
MEDIA,GCI,Gannett,Local News,"Terminal decline, newspaper death"
MEDIA,LEE,Lee Enterprises,Local News,"High debt, print dying"
MEDIA,NWSA,News Corp,Publishing,Print decline continuing
MEDIA,SNAP,Snap Inc,Social Media,"Negative FCF, competition"
MEDIA,DKNG,DraftKings,Sports Betting,"Negative FCF, regulation risk"
MEDIA,PENN,Penn Entertainment,Sports Betting,Integration issues
MEDIA,RSI,Rush Street Interactive,Sports Betting,Negative FCF
MEDIA,SKLZ,Skillz Inc,Mobile Gaming,Revenue collapse
COAL/FOSSIL,BTU,Peabody Energy,Coal,"Secular decline, ESG pressure"
COAL/FOSSIL,ARCH,Arch Resources,Coal,"Met coal only, declining demand"
COAL/FOSSIL,CEIX,CONSOL Energy,Coal,US coal terminal decline
COAL/FOSSIL,AMR,Alpha Metallurgical,Coal,Met coal cyclical risk
COAL/FOSSIL,HCC,Warrior Met Coal,Met Coal,Highly cyclical
COAL/FOSSIL,ARLP,Alliance Resource,Coal,Declining industry
COAL/FOSSIL,RIG,Transocean,Offshore Drilling,"High debt, cyclical"
COAL/FOSSIL,VAL,Valaris,Offshore Drilling,"Restructured, cyclical"
COAL/FOSSIL,NBR,Nabors Industries,Land Drilling,High debt
COAL/FOSSIL,HP,Helmerich & Payne,Land Drilling,Cyclical
COAL/FOSSIL,PTEN,Patterson-UTI,Land Drilling,Cyclical
COAL/FOSSIL,PBF,PBF Energy,Refining,Highly cyclical
COAL/FOSSIL,DK,Delek US Holdings,Refining,Margin pressure
CHINA,BABA,Alibaba Group,E-commerce,"Regulatory risk, VIE structure"
CHINA,JD,JD.com,E-commerce,"Competition, VIE risk"
CHINA,PDD,Pinduoduo/Temu,E-commerce,"Regulatory risk, VIE"
CHINA,BIDU,Baidu,Search/AI,"AI regulation, VIE"
CHINA,BILI,Bilibili,Video/Gaming,"Regulatory risk, losses"
CHINA,IQ,iQIYI,Streaming,"Losses, VIE structure"
CHINA,TME,Tencent Music,Music,Regulatory pressure
CHINA,TAL,TAL Education,Education,Regulatory destruction
CHINA,EDU,New Oriental,Education,Pivoting after regulation
CHINA,GOTU,Gaotu Techedu,Education,Regulatory destruction
CHINA,FUTU,Futu Holdings,Brokerage,"Regulatory risk, VIE"
CHINA,TIGR,UP Fintech,Brokerage,Regulatory risk
CHINA,LU,Lufax Holding,Fintech,Regulatory pressure
CHINA,KE,KE Holdings,Real Estate,"Property crisis, VIE"
CHINA,BGNE,BeiGene,Biotech,"US scrutiny, VIE"
CHINA,ZLAB,Zai Lab,Biotech,"Losses, VIE structure"
CANNABIS,TLRY,Tilray Brands,Cannabis,No federal legalization path
CANNABIS,CGC,Canopy Growth,Cannabis,"Massive losses, dilution"
CANNABIS,ACB,Aurora Cannabis,Cannabis,"Dilution, restructuring"
CANNABIS,CRON,Cronos Group,Cannabis,Revenue decline
CANNABIS,SNDL,SNDL Inc,Cannabis,Diversified but struggling
CANNABIS,HEXO,HEXO Corp,Cannabis,Restructuring
CANNABIS,GRWG,GrowGeneration,Cannabis Equipment,Oversupply
CANNABIS,CURLF,Curaleaf,Cannabis MSO,No 280E relief
CANNABIS,GTBIF,Green Thumb,Cannabis MSO,Federal risk
CANNABIS,TCNNF,Trulieve,Cannabis MSO,Federal risk
CRYPTO,MSTR,MicroStrategy,Bitcoin Treasury,"BTC leverage, not a business"
CRYPTO,COIN,Coinbase,Crypto Exchange,"Regulatory risk, cyclical"
CRYPTO,HOOD,Robinhood,Trading App,"Crypto exposure, meme trading"
CRYPTO,RIOT,Riot Platforms,Bitcoin Mining,BTC price dependent
CRYPTO,MARA,Marathon Digital,Bitcoin Mining,BTC price dependent
CRYPTO,CLSK,CleanSpark,Bitcoin Mining,BTC price dependent
CRYPTO,HUT,Hut 8 Mining,Bitcoin Mining,BTC price dependent
CRYPTO,DJT,Trump Media,Social Media,"No business model, speculative"
TECH,INTC,Intel Corp,Semiconductors,Losing market share to AMD/NVDA
TECH,SMCI,Super Micro Computer,Servers,"Accounting issues, E&Y resignation"
TECH,SNOW,Snowflake,Data Cloud,"High burn rate, slowing growth"
TECH,MDB,MongoDB,Database,"Negative FCF, competition"
TECH,NET,Cloudflare,CDN/Security,Profitability distant
TECH,S,SentinelOne,Security,Negative FCF
TECH,PATH,UiPath,Automation,Growth slowing sharply
TECH,ZI,ZoomInfo,Data,Growth slowing
TECH,AFRM,Affirm Holdings,BNPL,"Negative FCF, credit risk"
TECH,UPST,Upstart Holdings,Lending,Collapsed with rates
TECH,RBLX,Roblox,Gaming,"Negative FCF, child safety"
TECH,U,Unity Software,Gaming Engine,"Negative FCF, pricing controversy"
TECH,GTLB,GitLab,DevOps,Negative FCF
TECH,ZM,Zoom Video,Video,Pandemic peak passed
TECH,DOCU,DocuSign,E-signature,"Pandemic peak, competition"
TECH,DDD,3D Systems,3D Printing,"Revenue decline, cash burn"
TECH,SSYS,Stratasys,3D Printing,Competition
TECH,DM,Desktop Metal,3D Printing,Cash burn
TECH,NNDM,Nano Dimension,3D Printing,"Cash burn, governance"
REIT,VNO,Vornado Realty,NYC Office,"WFH impact, dividend cut"
REIT,SLG,SL Green Realty,NYC Office,"Oversupply, vacancy"
REIT,BXP,Boston Properties,Premium Office,WFH structural impact
REIT,MPW,Medical Properties,Hospitals,"Tenant bankruptcy, write-downs"
REIT,OHI,Omega Healthcare,Skilled Nursing,Tenant issues
REIT,SBRA,Sabra Healthcare,Skilled Nursing,Operator stress
REIT,MAC,Macerich,Malls,"Tenant losses, e-commerce"
REIT,SPG,Simon Property,Malls,"E-commerce threat, mature"
REIT,NLY,Annaly Capital,Mortgage REIT,"Rate sensitivity, leverage"
REIT,AGNC,AGNC Investment,Mortgage REIT,Rate sensitivity
REIT,BXMT,Blackstone Mortgage,Commercial Mortgage,Credit risk
REIT,LADR,Ladder Capital,Commercial Mortgage,Office exposure
REIT,ARI,Apollo Commercial,Commercial Mortgage,Credit losses
INDUSTRIAL,BA,Boeing,Aerospace,"Quality crisis, cash burn, safety"
INDUSTRIAL,AAL,American Airlines,Airlines,Highest debt in industry
INDUSTRIAL,UAL,United Airlines,Airlines,"Cyclical, debt"
INDUSTRIAL,DAL,Delta Air Lines,Airlines,Cyclical
INDUSTRIAL,LUV,Southwest Airlines,Airlines,"IT issues, hedge losses"
INDUSTRIAL,JBLU,JetBlue,Airlines,"Losses, failed merger"
INDUSTRIAL,CCL,Carnival Corp,Cruises,Massive COVID debt
INDUSTRIAL,RCL,Royal Caribbean,Cruises,High debt
INDUSTRIAL,NCLH,Norwegian Cruise,Cruises,Highest leverage
INDUSTRIAL,F,Ford Motor,Autos,EV losses $5B+/yr
INDUSTRIAL,GM,General Motors,Autos,EV transition costly
INDUSTRIAL,X,U.S. Steel,Steel,"Cyclical, acquisition pending"
INDUSTRIAL,CLF,Cleveland-Cliffs,Steel,Highly cyclical
INDUSTRIAL,AA,Alcoa,Aluminum,"Cyclical, China competition"
SPAC,CLOV,Clover Health,Healthcare,"Losses, delisting risk"
SPAC,BARK,BARK Inc,Pet Products,"Competition, losses"
SPAC,VIEW,View Inc,Smart Glass,"Cash burn, minimal revenue"
SPAC,DNA,Ginkgo Bioworks,Synthetic Bio,"Losses, related party revenue"
SPAC,OPEN,Opendoor,iBuying,"Cash burn, model not working"
SPAC,SOFI,SoFi Technologies,Fintech,Path to profit uncertain

